Title,Global,Hours_Viewed,Runtime,Views,Time_Period,averageRating,numVotes,genres,Is_Global,Popularity,Sufficient Votes,Genre: Romance,Genre: Comedy,Genre: Animation,Genre: Documentary,Genre: Sport,Genre: Horror,Genre: Fantasy,Genre: Sci-Fi,Genre: Drama,Genre: News,Genre: Action,Genre: Mystery,Genre: Family,Genre: Adventure,Genre: Biography,Genre: History,Genre: Music,Genre: Short,Genre: Game-Show,Genre: Talk-Show
The Platform 2,Yes,77200000,101.0,45900000,2024 H2,6.0,87,Drama,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Despicable Me 2,No,75000000,98.0,45900000,2025 H1,7.3,450680,"Adventure,Animation,Comedy",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Best. Christmas. Ever!,Yes,62400000,82.0,45700000,2023 H2,4.4,11526,"Comedy,Romance",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrek 2,No,69000000,93.0,44500000,2025 H1,7.4,541602,"Adventure,Animation,Comedy",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Paradise,Yes,87500000,119.0,44100000,2023 H2,8.0,26,Documentary,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bad Influence,Yes,78600000,107.0,44100000,2025 H1,7.7,64,"Comedy,Family",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
K.O.,Yes,63100000,87.0,43500000,2025 H1,6.7,47,Comedy,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingsman: The Secret Service,No,93300000,130.0,43100000,2024 H2,8.1,16,Horror,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old Dads,Yes,74400000,104.0,42900000,2023 H2,6.2,46223,Comedy,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Monkey King,Yes,69300000,97.0,42900000,2023 H2,5.8,7586,"Action,Adventure,Animation",1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Trolls,No,66200000,93.0,42700000,2024 H1,7.6,45,Comedy,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hot Frosty,Yes,64900000,92.0,42300000,2024 H2,5.3,14984,"Comedy,Fantasy,Romance",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pain Hustlers,Yes,86500000,125.0,41500000,2023 H2,6.6,53496,"Crime,Drama",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Locked In,Yes,67100000,97.0,41500000,2023 H2,6.7,36,"Mystery,Thriller",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Six Triple Eight,Yes,89000000,130.0,41100000,2024 H2,6.7,29616,"Drama,History,War",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Family Pack,Yes,64900000,95.0,41000000,2024 H2,8.1,51,"Comedy,Family,Short",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Sing 2,No,74000000,110.0,40400000,2024 H1,7.3,97973,"Adventure,Animation,Comedy",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hotel Transylvania 2,No,60100000,90.0,40100000,2023 H2,6.6,156989,"Adventure,Animation,Comedy",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Venom: The Last Dance,No,71900000,109.0,39600000,2025 H1,6.0,142330,"Action,Adventure,Sci-Fi",0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
